symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
TVIX,VelocityShares Daily 2x VIX ST ETN,ETF,United States,09:30,16:00,UTC-05,USD,0.3333
LABU,Direxion Daily S&P Biotech Bull 3X ETF,ETF,United States,09:30,16:00,UTC-05,USD,0.3333
JNUG,Direxion Daily Jr Gld Mnrs Bull 3X ETF,ETF,United States,09:30,16:00,UTC-05,USD,0.3333
NUGT,Direxion Daily Gold Miners Bull 3X ETF,ETF,United States,09:30,16:00,UTC-05,USD,0.2857
FAS,Direxion Daily Financial Bull 3X ETF,ETF,United States,09:30,16:00,UTC-05,USD,0.2857
TNA,Direxion Daily Small Cap Bull 3X ETF,ETF,United States,09:30,16:00,UTC-05,USD,0.1667
SOXL,Direxion Daily Semicondct Bull 3X ETF,ETF,United States,09:30,16:00,UTC-05,USD,0.1667
ERX,Direxion Daily Energy Bull 3X ETF,ETF,United States,09:30,16:00,UTC-05,USD,0.1500
TZA,Direxion Daily Small Cap Bear 3X ETF,ETF,United States,09:30,16:00,UTC-05,USD,0.1463
SPXL,Direxion Daily S&P500 Bull 3X ETF,ETF,United States,09:30,16:00,UTC-05,USD,0.1463
